schema_version,snapshot_id,suffix_id,suffix_text_sha256,persona_id,persona_quadrant,persona_template_id,extraversion,neuroticism,axis,layer_relative,layer_absolute,cosine_score,persona_axis_median
1,formal-v2-persona-calibration-v3-baseline,calibration.suffix.1,7003d3e5d5fc9a40d2f07d796142e01ef0cf8540dabcc125bcde99dc01d41f42,persona.high_e_low_n.v3,high_e_low_n,v3,high,low,frustration,-7,21,-0.010932346805930138,-0.010932346805930138
1,formal-v2-persona-calibration-v3-baseline,calibration.suffix.1,7003d3e5d5fc9a40d2f07d796142e01ef0cf8540dabcc125bcde99dc01d41f42,persona.high_e_low_n.v3,high_e_low_n,v3,high,low,frustration,-8,20,0.11029738932847977,-0.010932346805930138
1,formal-v2-persona-calibration-v3-baseline,calibration.suffix.1,7003d3e5d5fc9a40d2f07d796142e01ef0cf8540dabcc125bcde99dc01d41f42,persona.high_e_low_n.v3,high_e_low_n,v3,high,low,frustration,-9,19,0.039307303726673126,-0.010932346805930138
1,formal-v2-persona-calibration-v3-baseline,calibration.suffix.1,7003d3e5d5fc9a40d2f07d796142e01ef0cf8540dabcc125bcde99dc01d41f42,persona.low_e_high_n,low_e_high_n,v1,low,high,positive,-5,23,-0.16766975820064545,-0.025610852986574173
1,formal-v2-persona-calibration-v3-baseline,calibration.suffix.1,7003d3e5d5fc9a40d2f07d796142e01ef0cf8540dabcc125bcde99dc01d41f42,persona.low_e_high_n,low_e_high_n,v1,low,high,positive,-6,22,-0.15067404508590698,-0.025610852986574173
1,formal-v2-persona-calibration-v3-baseline,calibration.suffix.1,7003d3e5d5fc9a40d2f07d796142e01ef0cf8540dabcc125bcde99dc01d41f42,persona.low_e_high_n,low_e_high_n,v1,low,high,positive,-7,21,0.00036489806370809674,-0.025610852986574173
1,formal-v2-persona-calibration-v3-baseline,calibration.suffix.1,7003d3e5d5fc9a40d2f07d796142e01ef0cf8540dabcc125bcde99dc01d41f42,persona.low_e_high_n,low_e_high_n,v1,low,high,positive,-8,20,-0.025610852986574173,-0.025610852986574173
1,formal-v2-persona-calibration-v3-baseline,calibration.suffix.1,7003d3e5d5fc9a40d2f07d796142e01ef0cf8540dabcc125bcde99dc01d41f42,persona.low_e_high_n,low_e_high_n,v1,low,high,positive,-9,19,0.09321869909763336,-0.025610852986574173
1,formal-v2-persona-calibration-v3-baseline,calibration.suffix.1,7003d3e5d5fc9a40d2f07d796142e01ef0cf8540dabcc125bcde99dc01d41f42,persona.low_e_high_n,low_e_high_n,v1,low,high,negative,-5,23,0.08924803882837296,0.04656889662146568
1,formal-v2-persona-calibration-v3-baseline,calibration.suffix.1,7003d3e5d5fc9a40d2f07d796142e01ef0cf8540dabcc125bcde99dc01d41f42,persona.low_e_high_n,low_e_high_n,v1,low,high,negative,-6,22,0.12724900245666504,0.04656889662146568
